120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
747300.0,739080.0,523110.0,747300.0,747300.0,747300.0,747300.0,523110.0,747300.0,747300.0
747400.0,739150.0,523180.0,747400.0,747400.0,747400.0,747400.0,523180.0,747400.0,747400.0
747500.0,739220.0,523250.0,747500.0,747500.0,747500.0,747500.0,523250.0,747500.0,747500.0
747600.0,739290.0,523320.0,747600.0,747600.0,747600.0,747600.0,523320.0,747600.0,747600.0
747700.0,739360.0,523390.0,747700.0,747700.0,747700.0,747700.0,523390.0,747700.0,747700.0
747800.0,739430.0,523460.0,747800.0,747800.0,747800.0,747800.0,523460.0,747800.0,747800.0
747900.0,739500.0,523530.0,747900.0,747900.0,747900.0,747900.0,523530.0,747900.0,747900.0
748000.0,739570.0,523600.0,748000.0,748000.0,748000.0,748000.0,523600.0,748000.0,748000.0
748100.0,739640.0,523670.0,748100.0,748100.0,748100.0,748100.0,523670.0,748100.0,748100.0
748200.0,739710.0,523740.0,748200.0,748200.0,748200.0,748200.0,523740.0,748200.0,748200.0
748300.0,739780.0,523810.0,748300.0,748300.0,748300.0,748300.0,523810.0,748300.0,748300.0
748400.0,739850.0,523880.0,748400.0,748400.0,748400.0,748400.0,523880.0,748400.0,748400.0
748500.0,739920.0,523950.0,748500.0,748500.0,748500.0,748500.0,523950.0,748500.0,748500.0
748600.0,739990.0,524020.0,748600.0,748600.0,748600.0,748600.0,524020.0,748600.0,748600.0
748700.0,740060.0,524090.0,748700.0,748700.0,748700.0,748700.0,524090.0,748700.0,748700.0
748800.0,740130.0,524160.0,748800.0,748800.0,748800.0,748800.0,524160.0,748800.0,748800.0
748900.0,740200.0,524230.0,748900.0,748900.0,748900.0,748900.0,524230.0,748900.0,748900.0
749000.0,740270.0,524300.0,749000.0,749000.0,749000.0,749000.0,524300.0,749000.0,749000.0
749100.0,740340.0,524370.0,749100.0,749100.0,749100.0,749100.0,524370.0,749100.0,749100.0
749200.0,740410.0,524440.0,749200.0,749200.0,749200.0,749200.0,524440.0,749200.0,749200.0
749300.0,740480.0,524510.0,749300.0,749300.0,749300.0,749300.0,524510.0,749300.0,749300.0
749400.0,740550.0,524580.0,749400.0,749400.0,749400.0,749400.0,524580.0,749400.0,749400.0
749500.0,740620.0,524650.0,749500.0,749500.0,749500.0,749500.0,524650.0,749500.0,749500.0
749600.0,740690.0,524720.0,749600.0,749600.0,749600.0,749600.0,524720.0,749600.0,749600.0
749700.0,740760.0,524790.0,749700.0,749700.0,749700.0,749700.0,524790.0,749700.0,749700.0
749800.0,740830.0,524860.0,749800.0,749800.0,749800.0,749800.0,524860.0,749800.0,749800.0
749900.0,740900.0,524930.0,749900.0,749900.0,749900.0,749900.0,524930.0,749900.0,749900.0
750000.0,740970.0,525000.0,750000.0,750000.0,750000.0,750000.0,525000.0,750000.0,750000.0
750100.0,741040.0,525070.0,750100.0,750100.0,750100.0,750100.0,525070.0,750100.0,750100.0
750200.0,741110.0,525140.0,750200.0,750200.0,750200.0,750200.0,525140.0,750200.0,750200.0
750300.0,741180.0,525210.0,750300.0,750300.0,750300.0,750300.0,525210.0,750300.0,750300.0
750400.0,741250.0,525280.0,750400.0,750400.0,750400.0,750400.0,525280.0,750400.0,750400.0
750500.0,741320.0,525350.0,750500.0,750500.0,750500.0,750500.0,525350.0,750500.0,750500.0
750600.0,741390.0,525420.0,750600.0,750600.0,750600.0,750600.0,525420.0,750600.0,750600.0
750700.0,741460.0,525490.0,750700.0,750700.0,750700.0,750700.0,525490.0,750700.0,750700.0
750800.0,741530.0,525560.0,750800.0,750800.0,750800.0,750800.0,525560.0,750800.0,750800.0
750900.0,741600.0,525630.0,750900.0,750900.0,750900.0,750900.0,525630.0,750900.0,750900.0
751000.0,741670.0,525700.0,751000.0,751000.0,751000.0,751000.0,525700.0,751000.0,751000.0
751100.0,741740.0,525770.0,751100.0,751100.0,751100.0,751100.0,525770.0,751100.0,751100.0
751200.0,741810.0,525840.0,751200.0,751200.0,751200.0,751200.0,525840.0,751200.0,751200.0
